states,color
Alabama,yellow
Alaska,red
Arizona,orange
Arkansas,yellow
California,red
Colorado,blue
Connecticut,orange
Delaware,orange
Florida,red
Georgia,green
Hawaii,red
Idaho,blue
Illinois,yellow
Indiana,red
Iowa,orange
Kansas,red
Kentucky,green
Louisiana,red
Maine,red
Maryland,red
Massachusetts,yellow
Michigan,orange
Minnesota,yellow
Mississippi,orange
Missouri,blue
Montana,orange
Nebraska,yellow
Nevada,yellow
New_Hampshire,orange
New_Jersey,red
New_Mexico,red
New_York,green
North_Carolina,orange
North_Dakota,red
Ohio,yellow
Oklahoma,green
Oregon,orange
Pennsylvania,blue
Rhode_Island,red
South_Carolina,red
South_Dakota,green
Tennessee,red
Texas,orange
Utah,green
Vermont,red
Virginia,yellow
Washington,red
West_Virginia,orange
Wisconsin,red
Wyoming,red
